ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"49",59584,0.0009,0.459,0.5252,0.0158,47347,0.9349,0.0651,0.02,0.0187,0.0097,0.0109,0.0006,
"50",59024,-0.0085,0.589,0.3976,0.0134,45398,0.9315,0.0685,0.0288,0.0095,0.0096,0.0128,0.0008,
"51",59485,-0.0008,0.5553,0.4332,0.0116,45239,0.939,0.061,0.0275,0.0071,0.0078,0.0131,0.0009,
"52",60100,0.0095,0.5612,0.424,0.0148,46741,0.825,0.175,0.0564,0.0329,0.0601,0.0224,0.002,
"53",59326,-0.0035,0.5171,0.4631,0.0198,45714,0.8602,0.1398,0.0578,0.0244,0.032,0.0211,0.0011,
"54",59296,-0.004,0.5436,0.4364,0.02,48814,0.8349,0.1651,0.0374,0.0587,0.044,0.0213,0.0015,
"55",60099,0.0095,0.415,0.5706,0.0144,47374,0.9119,0.0881,0.0271,0.0123,0.0283,0.015,0.0008,
"56",59877,0.0058,0.3668,0.6226,0.0105,45505,0.9173,0.0827,0.0339,0.0079,0.0209,0.0153,0.0004,
"57",59642,0.0018,0.3417,0.6478,0.0105,48119,0.9221,0.0779,0.0362,0.0121,0.0068,0.0167,0.0008,
"58",59073,-0.0077,0.3004,0.6886,0.011,46166,0.9288,0.0712,0.0275,0.0127,0.0117,0.0138,0.0009,
"59",59789,0.0043,0.2564,0.7323,0.0113,47368,0.9407,0.0593,0.0286,0.0064,0.0083,0.0116,0.0005,
"60",59265,-0.0045,0.4298,0.5556,0.0146,46670,0.8547,0.1453,0.0674,0.0359,0.019,0.0207,0.0012,
"61",59361,-0.0029,0.501,0.4845,0.0145,47545,0.8033,0.1967,0.0898,0.0418,0.049,0.0195,0.001,
"62",60115,0.0098,0.6166,0.3703,0.0131,44595,0.5834,0.4166,0.1822,0.2075,0.0125,0.0222,0.0013,
"63",59708,0.0029,0.4259,0.5619,0.0122,47783,0.8231,0.1769,0.0588,0.0505,0.0482,0.0159,0.0009,
"64",60090,0.0094,0.562,0.4237,0.0143,46725,0.695,0.305,0.1525,0.1041,0.0338,0.0203,0.0014,
"65",60095,0.0094,0.5584,0.4284,0.0132,46462,0.7187,0.2813,0.1459,0.0968,0.0192,0.0238,0.0013,
"66",59377,-0.0026,0.5575,0.4296,0.0129,46320,0.655,0.345,0.1363,0.1693,0.0226,0.0195,0.0012,
"67",60062,0.0089,0.3789,0.6106,0.0105,47121,0.9251,0.0749,0.0198,0.0153,0.0092,0.0215,0.0009,
"68",59902,0.0062,0.3413,0.65,0.0087,47350,0.9534,0.0466,0.0116,0.0036,0.006,0.0146,0.0022,
"69",59952,0.007,0.3205,0.6674,0.0122,43971,0.9117,0.0883,0.0476,0.0185,0.0055,0.0126,0.0006,
"70",59394,-0.0023,0.4083,0.5793,0.0125,46063,0.8872,0.1128,0.0262,0.0284,0.0099,0.0434,0.0016,
"71",59463,-0.0012,0.5482,0.4357,0.0162,47994,0.8932,0.1068,0.0313,0.0186,0.0376,0.0151,0.0013,
"72",59742,0.0035,0.4036,0.5864,0.0099,48081,0.9246,0.0754,0.0247,0.0097,0.015,0.0198,0.0009,
"73",59853,0.0054,0.6033,0.3832,0.0135,48115,0.8608,0.1392,0.0158,0.0155,0.01,0.0918,0.0012,
"74",58968,-0.0095,0.4188,0.5721,0.0091,48431,0.8993,0.1007,0.0112,0.0056,0.0047,0.0712,0.0009,
"75",60058,0.0088,0.3677,0.622,0.0102,47930,0.9348,0.0652,0.0154,0.0062,0.0058,0.0293,0.0009,
"76",59142,-0.0066,0.8999,0.0863,0.0137,51193,0.7694,0.2306,0.0632,0.0891,0.058,0.0175,0.0013,
"77",59997,0.0078,0.8484,0.1328,0.0188,53015,0.7113,0.2887,0.0573,0.0449,0.1705,0.0142,0.0014,
"78",59825,0.0049,0.8077,0.1794,0.0129,47368,0.7353,0.2647,0.1003,0.0932,0.0504,0.02,0.0022,
"79",60002,0.0079,0.8526,0.1352,0.0122,48827,0.7254,0.2746,0.0788,0.0739,0.1068,0.0157,0.0011,
"80",59605,0.0012,0.7323,0.2532,0.0145,45798,0.8109,0.1891,0.0441,0.031,0.099,0.0114,0.0008,
"81",60040,0.0085,0.691,0.2954,0.0136,46678,0.8709,0.1291,0.0399,0.0302,0.0416,0.0115,0.0009,
"82",58981,-0.0093,0.4429,0.538,0.0191,46251,0.8066,0.1934,0.109,0.035,0.0298,0.0161,0.0013,
"83",59567,0.0006,0.3925,0.5933,0.0141,47727,0.8829,0.1171,0.0462,0.014,0.0393,0.0121,0.001,
"84",59218,-0.0053,0.2996,0.689,0.0114,45911,0.9329,0.0671,0.0267,0.0049,0.0127,0.0134,0.0008,
"85",59110,-0.0071,0.4925,0.493,0.0145,45970,0.8357,0.1643,0.0271,0.0188,0.093,0.0197,0.0012,
"86",59462,-0.0012,0.378,0.6119,0.0101,46226,0.9436,0.0564,0.0185,0.0072,0.0147,0.0108,0.0009,
"87",59487,-0.0008,0.3836,0.6062,0.0102,46621,0.932,0.068,0.016,0.0054,0.0243,0.0166,0.0008,
